"Location Properties"
"Location Name = 11ft (630427)"
"Location ID = 6147104710852608"
"Latitude = 44.63101004858643 °"
"Longitude = -124.04601168454957 °"
""
""
"Date Time","Resistivity (Ω-cm)","Temperature (C)","Density (g/cm³)","Total Dissolved Solids (mg/L)","Salinity (psu)","Actual Conductivity (µS/cm)","Specific Conductivity (µS/cm)"
"2019-01-06 08:40:00.000","83.587","21.777","1.003","8287.0","7.414","11963.875","12748.477"
"2019-01-06 08:55:00.000","83.669","21.745","1.003","8284.0","7.411","11951.891","12744.267"
"2019-01-06 09:10:00.000","83.708","21.7","1.003","8287.0","7.414","11946.349","12749.922"
"2019-01-06 09:25:00.000","83.78","21.658","1.003","8287.0","7.414","11935.966","12749.756"
"2019-01-06 09:40:00.000","83.828","21.63","1.003","8287.0","7.414","11929.205","12749.907"
"2019-01-06 09:55:00.000","83.853","21.614","1.003","8288.0","7.414","11925.696","12750.277"
"2019-01-06 10:10:00.000","83.926","21.571","1.003","8288.0","7.414","11915.221","12750.351"
"2019-01-06 10:25:00.000","83.915","21.578","1.003","8288.0","7.414","11916.755","12750.215"
"2019-01-06 10:40:00.000","83.721","21.71","1.003","8285.0","7.412","11944.427","12745.392"
"2019-01-06 10:55:00.000","83.545","21.827","1.003","8282.0","7.41","11969.544","12741.744"
"2019-01-06 11:10:00.000","83.52","21.821","1.003","8286.0","7.413","11973.156","12747.154"
"2019-01-06 11:25:00.000","83.56","21.789","1.003","8287.0","7.414","11967.441","12749.396"
"2019-01-06 11:40:00.000","83.594","21.761","1.003","8288.0","7.416","11962.58","12751.531"
"2019-01-06 11:55:00.000","83.663","21.705","1.003","8291.0","7.418","11952.724","12755.519"
"2019-01-06 12:10:00.000","83.765","21.65","1.003","8290.0","7.417","11938.224","12754.33"
"2019-01-06 12:25:00.000","83.779","21.624","1.003","8293.0","7.42","11936.205","12758.825"
"2019-01-06 12:40:00.000","83.82","21.616","1.003","8291.0","7.417","11930.334","12754.849"
"2019-01-06 12:55:00.000","83.829","21.598","1.003","8293.0","7.419","11929.004","12757.982"
"2019-01-06 13:10:00.000","83.862","21.583","1.003","8292.0","7.418","11924.315","12756.82"
"2019-01-06 13:25:00.000","83.882","21.557","1.003","8294.0","7.42","11921.5","12760.672"
"2019-01-06 13:40:00.000","83.895","21.549","1.003","8295.0","7.421","11919.731","12760.95"
"2019-01-06 13:55:00.000","83.925","21.541","1.003","8293.0","7.419","11915.374","12758.199"
"2019-01-06 14:10:00.000","83.934","21.54","1.003","8292.0","7.418","11914.169","12757.297"
"2019-01-06 14:25:00.000","83.924","21.54","1.003","8293.0","7.419","11915.476","12758.54"
"2019-01-06 14:40:00.000","83.95","21.521","1.003","8294.0","7.42","11911.916","12759.837"
"2019-01-06 14:55:00.000","83.946","21.506","1.004","8297.0","7.422","11912.405","12764.267"
"2019-01-06 15:10:00.000","83.973","21.51","1.003","8293.0","7.419","11908.661","12759.139"
"2019-01-06 15:25:00.000","83.961","21.516","1.003","8294.0","7.419","11910.301","12759.41"
"2019-01-06 15:40:00.000","83.957","21.52","1.003","8293.0","7.419","11910.915","12759.04"
"2019-01-06 15:55:00.000","83.951","21.508","1.003","8296.0","7.422","11911.736","12763.072"
"2019-01-06 16:10:00.000","83.996","21.487","1.004","8295.0","7.421","11905.384","12761.702"
"2019-01-06 16:25:00.000","83.984","21.493","1.004","8295.0","7.421","11907.024","12761.746"
"2019-01-06 17:25:00.000","84.074","21.443","1.004","8295.0","7.42","11894.344","12761.312"
"2019-01-06 18:25:00.000","83.784","21.621","1.003","8293.0","7.42","11935.462","12758.827"
"2019-01-06 19:25:00.000","33.882","19.327","1.014","21516.0","20.915","29514.26","33100.858"
"2019-01-06 20:25:00.000","33.882","19.312","1.014","21522.0","20.922","29513.848","33111.282"
"2019-01-06 20:40:00.000","33.861","19.326","1.014","21529.0","20.929","29532.098","33121.672"
"2019-01-06 20:41:00.000","33.868","19.328","1.014","21524.0","20.925","29526.796","33114.548"
"2019-01-06 20:42:00.000","33.865","19.331","1.014","21524.0","20.925","29528.76","33114.582"
"2019-01-06 20:44:00.000","33.866","19.333","1.014","21523.0","20.923","29528.16","33112.486"
"2019-01-06 20:46:00.000","33.859","19.335","1.014","21527.0","20.927","29534.42","33118.088"
"2019-01-06 20:47:00.000","33.86","19.336","1.014","21526.0","20.926","29533.496","33116.298"
"2019-01-06 20:49:00.000","33.86","19.338","1.014","21524.0","20.925","29533.16","33114.322"
"2019-01-06 20:50:00.000","33.866","19.341","1.014","21519.0","20.919","29527.826","33106.232"
"2019-01-06 20:52:00.000","33.86","19.344","1.014","21522.0","20.922","29533.308","33110.152"
"2019-01-06 20:53:00.000","33.862","19.346","1.014","21519.0","20.92","29531.496","33106.76"
"2019-01-06 20:55:00.000","33.841","19.348","1.014","21532.0","20.933","29549.676","33125.716"
"2019-01-06 20:57:00.000","33.796","19.358","1.014","21556.0","20.959","29588.902","33162.512"
"2019-01-06 20:58:00.000","33.828","19.372","1.014","21529.0","20.931","29561.202","33121.628"
"2019-01-06 21:00:00.000","33.823","19.377","1.014","21530.0","20.932","29565.87","33123.212"
"2019-01-06 22:00:00.000","33.835","19.281","1.014","21566.0","20.968","29555.098","33179.216"
"2019-01-06 23:00:00.000","33.883","19.193","1.014","21577.0","20.977","29513.416","33194.958"
"2019-01-07 00:00:00.000","33.932","19.12","1.014","21579.0","20.978","29470.738","33199.172"
"2019-01-07 01:00:00.000","33.971","19.052","1.014","21587.0","20.984","29445.66","33219.938"
"2019-01-07 02:00:00.000","33.891","19.067","1.014","21630.0","21.031","29506.636","33277.408"
"2019-01-07 03:00:00.000","33.849","19.124","1.014","21630.0","21.032","29542.79","33277.52"
"2019-01-07 04:00:00.000","33.87","19.079","1.014","21638.0","21.039","29524.44","33289.472"
"2019-01-07 05:00:00.000","33.865","19.049","1.014","21656.0","21.057","29529.426","33316.386"
"2019-01-07 06:00:00.000","33.777","19.134","1.014","21672.0","21.077","29606.138","33341.998"
"2019-01-09 10:22:00.000","1410065.408","22.289","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 17:00:00.000","1410065.408","22.549","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 17:03:00.000","1410065.408","22.583","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 17:08:00.000","1410065.408","21.144","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 17:09:00.000","1410065.408","21.179","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 17:10:00.000","1.0E7","22.65","1.0","0.0","0.0","0.0","0.0"
"2019-01-09 18:00:00.000","1.0E7","22.67","1.0","0.0","0.0","0.0","0.0"
"2019-01-09 18:21:00.000","1410065.408","22.272","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 18:30:00.000","1.0E7","22.72","1.0","0.0","0.0","0.0","0.0"
"2019-01-09 18:55:00.000","1410065.408","22.46","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 19:00:00.000","1.0E7","22.85","1.0","0.0","0.0","0.0","0.0"
"2019-01-09 19:30:00.000","1410065.408","22.627","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 19:45:00.000","1410065.408","17.259","0.999","0.0","0.0","0.0","0.0"
"2019-01-09 20:00:00.000","1410065.408","22.335","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 20:20:00.000","1410065.408","20.927","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 20:30:00.000","1410065.408","22.697","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 21:30:00.000","1410065.408","22.596","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 22:30:00.000","1410065.408","22.263","0.998","0.0","0.0","0.0","0.0"
"2019-01-09 23:30:00.000","1410065.408","22.119","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 00:30:00.000","1410065.408","22.114","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 01:15:00.000","1.0E7","22.7","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 01:30:00.000","1410065.408","22.011","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 02:30:00.000","1410065.408","21.966","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 03:30:00.000","1410065.408","21.921","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 04:30:00.000","1410065.408","21.888","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 05:30:00.000","1410065.408","21.887","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 06:30:00.000","1410065.408","22.016","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 07:30:00.000","1410065.408","22.018","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 08:30:00.000","1410065.408","21.934","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 09:30:00.000","1410065.408","22.23","0.998","0.0","0.0","0.0","0.0"
"2019-01-10 17:45:00.000","1.0E7","22.37","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 18:00:00.000","1.0E7","21.115","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 18:15:00.000","1.0E7","23.759999999999998","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 18:30:00.000","1.0E7","26.48","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 18:45:00.000","1.0E7","26.45","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 19:00:00.000","1.0E7","26.95","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 19:13:00.000","1.0E7","22.54","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 19:15:00.000","1.0E7","27.1","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 19:30:00.000","1.0E7","27.26","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 19:45:00.000","1.0E7","24.810000000000002","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 20:00:00.000","1.0E7","27.33","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 20:15:00.000","1.0E7","28.42","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 20:30:00.000","1.0E7","27.82","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 20:45:00.000","1.0E7","27.53","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 21:00:00.000","1.0E7","27.82","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 21:15:00.000","1.0E7","27.5","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 21:30:00.000","1.0E7","27.14","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 21:45:00.000","1.0E7","26.99","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 22:00:00.000","1.0E7","26.87","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 22:15:00.000","1.0E7","26.85","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 22:30:00.000","1.0E7","26.84","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 22:45:00.000","1.0E7","27.07","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 23:00:00.000","1.0E7","24.78","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 23:15:00.000","1.0E7","23.76","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 23:30:00.000","1.0E7","23.15","1.0","0.0","0.0","0.0","0.0"
"2019-01-10 23:45:00.000","1.0E7","22.83","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 00:00:00.000","1.0E7","22.68","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 00:15:00.000","1.0E7","22.58","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 00:30:00.000","1.0E7","22.42","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 00:45:00.000","1.0E7","22.27","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 01:00:00.000","1.0E7","22.16","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 01:15:00.000","1.0E7","22.07","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 01:30:00.000","1.0E7","21.97","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 01:45:00.000","1.0E7","21.88","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 02:00:00.000","1.0E7","21.81","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 02:15:00.000","1.0E7","21.77","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 02:30:00.000","1.0E7","21.73","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 02:45:00.000","1.0E7","21.72","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 03:00:00.000","1.0E7","21.78","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 03:15:00.000","1.0E7","21.85","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 03:30:00.000","1.0E7","21.9","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 03:45:00.000","1.0E7","21.96","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 04:00:00.000","1.0E7","21.95","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 04:15:00.000","1.0E7","21.92","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 04:30:00.000","1.0E7","21.88","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 04:45:00.000","1.0E7","21.84","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 05:00:00.000","1.0E7","21.8","1.0","0.0","0.0","0.0","0.0"
"2019-01-11 05:15:00.000","1.0E7","21.76","1.0","0.0","0.0","0.0","0.0"
