Sensor n. 01  Type: Barometer[161]  s/n:18104414  Batt:100%
Sensor n. 02  Type: AquaTR100[10]  s/n:630411  Batt:88%
Sensor n. 03  Type: AquaTR100[10]  s/n:630415  Batt:88%
Sensor n. 04  Type: AquaTR100[10]  s/n:630427  Batt:89%
Record n,Date,Time,Sensor n,Pressure(mBar)[2:21],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129],Sensor n,Actual Conduct.(uS/cm)[9:65],Temperature(°C)[1:1],Specific Conduct.(uS/cm)[10:65],Salinity(PSU)[12:97],Tot Diss. Solids(ppt)[13:114],Resistivity(ohm*cm)[11:81],Density of Water(g/cm3)[14:129]
1417,23/02/2019,00:00,01,1020.500,02,23387.672,8.940,33736.296,20.828,21.929,42.758,1.016,03,27454.746,9.335,39176.776,24.579,25.465,36.424,1.019,04,30451.716,9.551,43198.580,27.396,28.079,32.839,1.021
1418,23/02/2019,00:30,01,1020.500,02,23396.216,8.925,33762.472,20.844,21.946,42.742,1.016,03,29106.150,9.434,41420.576,26.144,26.923,34.357,1.020,04,32002.560,9.672,45249.984,28.851,29.412,31.248,1.022
1419,23/02/2019,01:00,01,1020.500,02,24248.638,9.005,34915.712,21.632,22.695,41.239,1.017,03,30536.670,9.545,43325.640,27.485,28.162,32.748,1.021,04,32452.496,9.693,45860.692,29.284,29.809,30.814,1.023
1420,23/02/2019,01:30,01,1020.700,02,25029.580,9.057,35988.076,22.367,23.392,39.953,1.017,03,31508.522,9.588,44653.044,28.421,29.024,31.737,1.022,04,32690.722,9.681,46212.416,29.532,30.038,30.590,1.023
1421,23/02/2019,02:00,01,1021.100,02,25846.316,9.036,37184.352,23.182,24.170,38.690,1.018,03,31902.778,9.606,45189.604,28.801,29.373,31.345,1.022,04,32674.902,9.658,46218.044,29.533,30.042,30.605,1.023
1422,23/02/2019,02:30,01,1021.100,02,26991.972,9.210,38647.716,24.203,25.121,37.048,1.019,03,31746.370,9.596,44980.080,28.652,29.237,31.500,1.022,04,32747.082,9.641,46341.984,29.619,30.122,30.537,1.023
1423,23/02/2019,03:00,01,1021.000,02,28496.698,9.366,40629.044,25.587,26.409,35.092,1.020,03,32334.260,9.660,45733.656,29.191,29.727,30.927,1.022,04,32813.588,9.661,46409.796,29.669,30.166,30.476,1.023
1424,23/02/2019,03:30,01,1021.000,02,29831.326,9.492,42386.592,26.823,27.551,33.522,1.021,03,32426.608,9.667,45856.484,29.278,29.807,30.839,1.023,04,33094.466,9.705,46752.164,29.917,30.389,30.217,1.023
1425,23/02/2019,04:00,01,1021.100,02,23543.722,8.774,34116.836,21.072,22.176,42.474,1.016,03,32629.286,9.686,46119.060,29.466,29.977,30.647,1.023,04,33131.076,9.691,46821.956,29.964,30.434,30.183,1.023
1426,23/02/2019,04:30,01,1021.300,02,27864.608,8.996,40132.124,25.206,26.086,35.888,1.019,03,31873.272,9.486,45294.604,28.862,29.441,31.374,1.022,04,32776.012,9.542,46507.684,29.724,30.230,30.510,1.023
1427,23/02/2019,05:00,01,1021.400,02,29578.190,9.182,42383.536,26.788,27.549,33.809,1.021,03,32491.028,9.518,46132.980,29.457,29.986,30.778,1.023,04,33058.926,9.593,46843.304,29.968,30.448,30.249,1.023
1428,23/02/2019,05:30,01,1021.400,02,28460.186,9.135,40833.540,25.706,26.542,35.137,1.020,03,31636.602,9.430,45026.744,28.667,29.267,31.609,1.022,04,32709.416,9.555,46396.332,29.647,30.158,30.572,1.023
1429,23/02/2019,06:00,01,1021.700,02,30763.698,9.297,43943.420,27.891,28.563,32.506,1.022,03,31390.220,9.403,44708.964,28.440,29.061,31.857,1.022,04,32240.622,9.511,45785.392,29.211,29.761,31.017,1.023
1430,23/02/2019,06:30,01,1021.400,02,31355.178,9.371,44698.636,28.429,29.054,31.893,1.022,03,31470.120,9.418,44804.804,28.509,29.123,31.776,1.022,04,32399.916,9.529,45990.260,29.357,29.894,30.864,1.023
1431,23/02/2019,07:00,01,1021.500,02,30622.628,9.293,43746.792,27.753,28.435,32.656,1.021,03,31236.562,9.382,44515.244,28.302,28.935,32.014,1.022,04,31808.926,9.467,45226.692,28.812,29.397,31.438,1.022
1432,23/02/2019,07:30,01,1021.800,02,30169.022,9.210,43197.232,27.359,28.078,33.147,1.021,03,30626.926,9.302,43742.156,27.750,28.432,32.651,1.021,04,31932.260,9.482,45383.232,28.924,29.499,31.316,1.022
1433,23/02/2019,08:00,01,1021.900,02,29964.732,9.217,42896.424,27.149,27.883,33.373,1.021,03,30868.320,9.343,44037.904,27.962,28.625,32.396,1.022,04,32225.236,9.514,45760.556,29.193,29.744,31.032,1.022
1434,23/02/2019,08:30,01,1022.100,02,29503.966,9.157,42305.780,26.731,27.499,33.894,1.021,03,30852.576,9.348,44009.772,27.943,28.606,32.412,1.022,04,32202.582,9.510,45733.536,29.174,29.727,31.053,1.022
1435,23/02/2019,09:00,01,1022.200,02,27108.776,9.009,39029.032,24.446,25.369,36.888,1.019,03,29316.786,9.165,42028.580,26.539,27.319,34.110,1.020,04,30874.690,9.359,44027.216,27.956,28.618,32.389,1.022
1436,23/02/2019,09:30,01,1022.200,02,26412.008,8.963,38074.824,23.785,24.749,37.862,1.018,03,27140.228,8.992,39093.408,24.489,25.411,36.846,1.019,04,29396.816,9.181,42124.456,26.607,27.381,34.017,1.021
1437,23/02/2019,10:00,01,1022.300,02,24167.802,8.870,34928.772,21.630,22.704,41.377,1.017,03,24766.036,8.909,35755.096,22.195,23.241,40.378,1.017,04,28407.372,9.116,40779.584,25.666,26.507,35.202,1.020
1438,23/02/2019,10:30,01,1022.100,02,23283.028,8.812,33704.164,20.796,21.908,42.950,1.016,03,24186.178,8.862,34962.784,21.652,22.726,41.346,1.017,04,27956.182,9.069,40183.576,25.249,26.119,35.770,1.019
1439,23/02/2019,11:00,01,1022.100,02,22663.998,8.819,32801.300,20.187,21.321,44.123,1.016,03,24314.986,8.885,35127.284,21.766,22.833,41.127,1.017,04,26668.176,9.042,38360.416,23.989,24.934,37.498,1.019
1440,23/02/2019,11:30,01,1022.100,02,23238.570,8.872,33584.144,20.720,21.830,43.032,1.016,03,24386.632,8.910,35205.892,21.821,22.884,41.006,1.017,04,25882.130,9.034,37237.436,23.218,24.204,38.637,1.018
1441,23/02/2019,12:00,01,1022.000,02,23805.006,8.931,34346.220,21.240,22.325,42.008,1.016,03,25953.388,9.032,37342.272,23.290,24.272,38.531,1.018,04,28441.248,9.212,40720.512,25.635,26.468,35.160,1.020
1442,23/02/2019,12:30,01,1021.800,02,22456.706,8.933,32399.040,19.926,21.059,44.530,1.015,03,27808.826,9.165,39865.984,25.039,25.913,35.960,1.019,04,29484.652,9.295,42118.804,26.615,27.377,33.916,1.021
1443,23/02/2019,13:00,01,1021.500,02,23235.836,8.979,33481.026,20.659,21.763,43.037,1.016,03,28627.328,9.237,40958.652,25.803,26.623,34.932,1.020,04,31567.926,9.479,44870.156,28.562,29.166,31.678,1.022
1444,23/02/2019,13:30,01,1021.200,02,23508.876,9.019,33837.096,20.902,21.994,42.537,1.016,03,30323.488,9.360,43239.880,27.405,28.106,32.978,1.021,04,31987.838,9.533,45400.000,28.941,29.510,31.262,1.022
1445,23/02/2019,14:00,01,1021.000,02,24998.298,9.078,35922.920,22.324,23.350,40.003,1.017,03,31326.248,9.441,44572.136,28.348,28.972,31.922,1.022,04,32134.450,9.552,45584.764,29.074,29.630,31.119,1.022
1446,23/02/2019,14:30,01,1020.900,02,26003.470,9.153,37290.592,23.265,24.239,38.456,1.018,03,30625.222,9.431,43586.872,27.656,28.331,32.653,1.021,04,32537.810,9.579,46123.012,29.457,29.980,30.733,1.023
1447,23/02/2019,15:00,01,1020.600,02,28266.346,9.312,40359.312,25.395,26.234,35.378,1.020,03,31548.090,9.463,44861.016,28.554,29.160,31.698,1.022,04,32378.970,9.584,45891.176,29.294,29.829,30.884,1.023
1448,23/02/2019,15:30,01,1020.300,02,28218.788,9.261,40348.264,25.382,26.226,35.437,1.020,03,31911.722,9.491,45344.012,28.897,29.474,31.336,1.022,04,32727.502,9.587,46381.804,29.641,30.148,30.555,1.023
1449,23/02/2019,16:00,01,1020.100,02,30282.996,9.375,43164.512,27.354,28.057,33.022,1.021,03,32104.296,9.526,45573.220,29.063,29.623,31.148,1.022,04,32783.760,9.606,46437.952,29.683,30.185,30.503,1.023
1450,23/02/2019,16:30,01,1019.900,02,28130.716,9.331,40145.252,25.248,26.094,35.548,1.019,03,31848.852,9.525,45212.096,28.808,29.388,31.398,1.022,04,32655.928,9.610,46251.692,29.465,29.984,30.703,1.023
1451,23/02/2019,17:00,01,1019.800,02,25680.618,9.197,36783.060,22.922,23.909,38.940,1.018,03,28433.252,9.368,40536.300,25.523,26.349,35.170,1.020,04,32790.458,9.631,46415.432,29.670,30.170,30.497,1.023
1452,23/02/2019,17:30,01,1019.600,02,26584.316,9.285,37986.020,23.754,24.691,37.616,1.018,03,29633.002,9.424,42182.040,26.673,27.418,33.746,1.021,04,31142.432,9.541,44190.812,28.091,28.724,32.111,1.022
1453,23/02/2019,18:00,01,1019.600,02,28641.562,9.373,40827.752,25.725,26.538,34.914,1.020,03,29541.838,9.437,42037.756,26.574,27.325,33.850,1.020,04,30298.538,9.501,43039.720,27.280,27.976,33.005,1.021
1454,23/02/2019,18:30,01,1019.700,02,27786.116,9.335,39649.276,24.905,25.772,35.989,1.019,03,29418.912,9.415,41887.920,26.467,27.227,33.992,1.020,04,30949.316,9.509,43955.016,27.922,28.571,32.311,1.022
1455,23/02/2019,19:00,01,1019.500,02,28070.098,9.340,40048.924,25.182,26.032,35.625,1.019,03,29652.370,9.433,42199.276,26.686,27.430,33.724,1.021,04,30913.878,9.526,43883.436,27.874,28.524,32.348,1.021
1456,23/02/2019,19:30,01,1019.500,02,27322.832,9.268,39059.572,24.492,25.389,36.599,1.019,03,28431.458,9.374,40527.496,25.517,26.343,35.172,1.020,04,29970.638,9.466,42613.816,26.979,27.699,33.366,1.021
1457,23/02/2019,20:00,01,1019.300,02,27682.482,9.301,39537.560,24.825,25.699,36.124,1.019,03,28554.362,9.374,40701.884,25.638,26.456,35.021,1.020,04,30012.466,9.478,42659.580,27.012,27.729,33.319,1.021
1458,23/02/2019,20:30,01,1019.100,02,27355.052,9.244,39130.920,24.539,25.435,36.556,1.019,03,27994.826,9.347,39933.932,25.103,25.957,35.721,1.019,04,29648.778,9.456,42167.632,26.666,27.409,33.728,1.021
1459,23/02/2019,21:00,01,1018.900,02,26158.076,9.118,37548.056,23.439,24.406,38.229,1.018,03,26633.012,9.215,38128.484,23.846,24.784,37.547,1.018,04,28232.766,9.380,40237.308,25.317,26.154,35.420,1.019
1460,23/02/2019,21:30,01,1018.600,02,24181.998,8.951,34871.636,21.598,22.667,41.353,1.017,03,25626.718,9.104,36799.572,22.925,23.920,39.022,1.018,04,27057.108,9.240,38708.832,24.248,25.161,36.959,1.019
1461,23/02/2019,22:00,01,1018.600,02,22489.546,8.839,32531.046,20.007,21.145,44.465,1.015,03,24022.672,8.975,34618.864,21.428,22.502,41.627,1.017,04,26752.966,9.200,38315.984,23.973,24.905,37.379,1.018
1462,23/02/2019,22:30,01,1018.400,02,22185.526,8.816,32111.796,19.724,20.873,45.074,1.015,03,23124.252,8.918,33376.182,20.583,21.695,43.245,1.016,04,26588.590,9.203,38077.652,23.810,24.750,37.610,1.018
1463,23/02/2019,23:00,01,1018.400,02,21996.866,8.828,31828.382,19.534,20.688,45.461,1.015,03,23771.596,8.985,34247.564,21.178,22.261,42.067,1.016,04,25872.828,9.172,37083.772,23.125,24.104,38.651,1.018
1464,23/02/2019,23:30,01,1017.600,02,22590.020,8.867,32651.236,20.090,21.223,44.267,1.015,03,23154.196,8.908,33428.920,20.618,21.729,43.189,1.016,04,25348.436,9.123,36380.884,22.640,23.648,39.450,1.017
1465,24/02/2019,00:00,01,1016.800,02,22190.452,8.860,32079.732,19.705,20.852,45.064,1.015,03,24818.332,9.058,35683.408,22.159,23.194,40.293,1.017,04,27174.308,9.200,38919.612,24.389,25.298,36.799,1.019
1466,24/02/2019,00:30,01,1016.600,02,22195.276,8.797,32142.822,19.743,20.893,45.055,1.015,03,26886.576,9.197,38510.656,24.107,25.032,37.193,1.019,04,29481.948,9.398,41996.664,26.541,27.298,33.919,1.020
1467,24/02/2019,01:00,01,1016.100,02,22174.282,8.784,32123.926,19.729,20.881,45.097,1.015,03,27995.722,9.293,39994.224,25.140,25.996,35.720,1.019,04,31290.450,9.598,44331.676,28.196,28.816,31.959,1.022
1468,24/02/2019,01:30,01,1016.000,02,22826.110,8.886,32975.512,20.310,21.434,43.809,1.016,03,30223.546,9.487,42949.876,27.216,27.917,33.087,1.021,04,31543.496,9.638,44642.520,28.419,29.018,31.702,1.022
1469,24/02/2019,02:00,01,1015.700,02,22380.022,8.855,32358.036,19.892,21.033,44.683,1.015,03,31317.650,9.579,44393.864,28.238,28.856,31.931,1.022,04,32356.940,9.652,45776.400,29.220,29.755,30.905,1.022
1470,24/02/2019,02:30,01,1015.500,02,24492.806,8.969,35301.908,21.892,22.946,40.828,1.017,03,31635.102,9.587,44833.864,28.548,29.142,31.610,1.022,04,32800.482,9.702,46341.012,29.625,30.122,30.487,1.023
1471,24/02/2019,03:00,01,1014.800,02,24495.140,9.023,35252.608,21.863,22.914,40.824,1.017,03,31423.278,9.581,44540.480,28.341,28.951,31.824,1.022,04,32962.216,9.731,46533.132,29.764,30.247,30.338,1.023
1472,24/02/2019,03:30,01,1014.800,02,28191.540,9.237,40334.956,25.370,26.218,35.472,1.020,03,31644.896,9.594,44838.656,28.553,29.145,31.601,1.022,04,32836.188,9.713,46377.840,29.652,30.146,30.454,1.023
1473,24/02/2019,04:00,01,1014.800,02,26978.698,9.270,38565.072,24.151,25.067,37.066,1.019,03,31926.522,9.623,45202.532,28.812,29.382,31.322,1.022,04,32980.652,9.720,46573.060,29.791,30.272,30.321,1.023
1474,24/02/2019,04:30,01,1014.800,02,26891.202,9.085,38635.664,24.182,25.113,37.187,1.019,03,32390.636,9.668,45803.556,29.241,29.772,30.873,1.023,04,32992.840,9.722,46587.376,29.802,30.282,30.310,1.023
1475,24/02/2019,05:00,01,1014.800,02,26057.998,8.990,37536.104,23.419,24.398,38.376,1.018,03,32174.648,9.633,45542.000,29.053,29.602,31.080,1.022,04,32908.938,9.714,46478.620,29.724,30.211,30.387,1.023
1476,24/02/2019,05:30,01,1014.700,02,27965.708,9.079,40185.392,25.251,26.121,35.758,1.019,03,31502.450,9.523,44723.032,28.463,29.070,31.744,1.022,04,32774.666,9.688,46322.192,29.610,30.109,30.511,1.023
1477,24/02/2019,06:00,01,1014.600,02,27596.410,9.035,39702.764,24.913,25.807,36.237,1.019,03,30914.332,9.493,43924.260,27.899,28.551,32.347,1.021,04,31970.290,9.618,45270.636,28.860,29.426,31.279,1.022
1478,24/02/2019,06:30,01,1014.700,02,28559.646,9.214,40887.452,25.751,26.577,35.014,1.020,03,30337.636,9.431,43177.332,27.369,28.065,32.962,1.021,04,31873.152,9.594,45162.424,28.781,29.356,31.374,1.022
1479,24/02/2019,07:00,01,1014.600,02,29261.946,9.290,41806.540,26.397,27.174,34.174,1.020,03,30415.122,9.444,43271.716,27.436,28.127,32.878,1.021,04,31745.598,9.579,45000.480,28.665,29.250,31.500,1.022
1480,24/02/2019,07:30,01,1014.500,02,29562.858,9.308,42215.096,26.684,27.440,33.826,1.021,03,30247.208,9.383,43105.096,27.313,28.018,33.061,1.021,04,31173.216,9.517,44262.564,28.139,28.771,32.079,1.022
1481,24/02/2019,08:00,01,1014.800,02,29387.982,9.296,41979.176,26.518,27.286,34.028,1.020,03,30285.386,9.375,43168.204,27.356,28.059,33.019,1.021,04,31382.800,9.508,44571.776,28.355,28.972,31.865,1.022
1482,24/02/2019,08:30,01,1015.100,02,29293.238,9.254,41892.408,26.453,27.230,34.138,1.020,03,29995.162,9.354,42779.256,27.082,27.807,33.339,1.021,04,31786.886,9.551,45092.640,28.727,29.310,31.460,1.022
1483,24/02/2019,09:00,01,1015.200,02,28967.076,9.160,41532.672,26.193,26.996,34.522,1.020,03,29738.196,9.313,42459.956,26.855,27.599,33.627,1.021,04,31043.026,9.491,44109.344,28.028,28.671,32.213,1.022
1484,24/02/2019,09:30,01,1015.300,02,27122.752,9.022,39035.396,24.452,25.373,36.869,1.019,03,29366.690,9.290,41955.532,26.501,27.271,34.052,1.020,04,30374.576,9.415,43248.160,27.417,28.111,32.922,1.021
1485,24/02/2019,10:00,01,1015.200,02,26965.020,9.004,38827.844,24.307,25.238,37.085,1.019,03,27812.276,9.088,39955.404,25.093,25.971,35.955,1.019,04,29786.700,9.346,42491.616,26.881,27.620,33.572,1.021
1486,24/02/2019,10:30,01,1015.400,02,26257.960,8.925,37891.596,23.656,24.630,38.084,1.018,03,26753.910,8.993,38535.464,24.105,25.048,37.378,1.019,04,28761.878,9.231,41158.584,25.941,26.753,34.768,1.020
1487,24/02/2019,11:00,01,1015.400,02,24114.206,8.766,34952.084,21.637,22.719,41.469,1.017,03,25087.508,8.897,36230.652,22.518,23.550,39.860,1.017,04,26537.390,9.014,38201.752,23.877,24.831,37.683,1.018
1488,24/02/2019,11:30,01,1015.300,02,23154.048,8.779,33547.738,20.688,21.806,43.189,1.016,03,24499.790,8.850,35428.432,21.967,23.028,40.817,1.017,04,27301.090,9.071,39239.752,24.597,25.506,36.629,1.019
1489,24/02/2019,12:00,01,1015.100,02,22821.576,8.771,33073.876,20.367,21.498,43.818,1.016,03,24913.366,8.881,35995.076,22.356,23.397,40.139,1.017,04,26753.208,9.047,38477.324,24.070,25.010,37.379,1.019
1490,24/02/2019,12:30,01,1014.900,02,22599.148,8.790,32734.120,20.140,21.277,44.249,1.016,03,24146.522,8.893,34875.484,21.596,22.669,41.414,1.017,04,25482.412,8.994,36702.684,22.849,23.857,39.243,1.018
1491,24/02/2019,13:00,01,1014.800,02,22500.888,8.823,32561.716,20.027,21.165,44.443,1.015,03,24607.396,8.940,35495.252,22.021,23.072,40.638,1.017,04,27612.276,9.171,39577.536,24.840,25.725,36.216,1.019
1492,24/02/2019,13:30,01,1014.400,02,22910.288,8.867,33114.066,20.402,21.524,43.649,1.016,03,26406.940,9.071,37953.920,23.713,24.670,37.869,1.018,04,29253.850,9.351,41725.484,26.347,27.122,34.184,1.020
1493,24/02/2019,14:00,01,1014.400,02,23446.402,8.902,33856.028,20.906,22.006,42.650,1.016,03,28050.028,9.233,40137.056,25.233,26.089,35.651,1.019,04,30573.128,9.541,43382.536,27.524,28.199,32.708,1.021
1494,24/02/2019,14:30,01,1014.300,02,23269.430,8.943,33562.972,20.711,21.816,42.975,1.016,03,29510.708,9.417,42015.676,26.556,27.310,33.886,1.020,04,32103.638,9.707,45350.840,28.926,29.478,31.149,1.022
1495,24/02/2019,15:00,01,1014.200,02,24580.690,9.005,35393.836,21.957,23.006,40.682,1.017,03,29890.978,9.484,42480.800,26.888,27.613,33.455,1.021,04,32583.526,9.806,45905.720,29.329,29.839,30.690,1.023
1496,24/02/2019,15:30,01,1014.200,02,24988.336,9.047,35939.064,22.332,23.360,40.019,1.017,03,31319.728,9.631,44334.216,28.202,28.817,31.929,1.022,04,33017.032,9.847,46465.072,29.730,30.202,30.287,1.023
1497,24/02/2019,16:00,01,1014.000,02,25828.026,9.114,37078.172,23.116,24.101,38.718,1.018,03,32252.670,9.664,45613.456,29.107,29.649,31.005,1.022,04,33177.298,9.844,46693.972,29.891,30.351,30.141,1.023
1498,24/02/2019,16:30,01,1014.000,02,27726.070,9.254,39651.292,24.899,25.773,36.067,1.019,03,32335.882,9.762,45610.772,29.116,29.647,30.925,1.022,04,33240.308,9.873,46746.512,29.932,30.385,30.084,1.023
1499,24/02/2019,17:00,01,1013.700,02,27331.262,9.226,39116.224,24.527,25.426,36.588,1.019,03,32549.826,9.763,45910.840,29.328,29.842,30.722,1.023,04,33109.020,9.848,46593.484,29.821,30.286,30.203,1.023
1500,24/02/2019,17:30,01,1013.400,02,23014.162,8.968,33171.908,20.449,21.562,43.452,1.016,03,31656.802,9.660,44776.136,28.516,29.104,31.589,1.022,04,33094.682,9.811,46618.924,29.834,30.302,30.216,1.023
1501,24/02/2019,18:00,01,1013.200,02,26199.108,9.242,37480.120,23.403,24.362,38.169,1.018,03,30872.152,9.633,43698.372,27.755,28.404,32.392,1.021,04,33167.650,9.847,46677.276,29.880,30.340,30.150,1.023
1502,24/02/2019,18:30,01,1013.300,02,26659.128,9.269,38109.704,23.838,24.771,37.511,1.018,03,28852.666,9.503,40982.936,25.846,26.639,34.659,1.020,04,31263.926,9.698,44174.656,28.097,28.714,31.986,1.022
1503,24/02/2019,19:00,01,1013.400,02,26532.526,9.230,37968.936,23.738,24.680,37.690,1.018,03,29084.898,9.507,41308.544,26.073,26.851,34.382,1.020,04,31454.196,9.716,44421.920,28.273,28.874,31.792,1.022
1504,24/02/2019,19:30,01,1013.100,02,27192.840,9.323,38815.748,24.329,25.230,36.774,1.019,03,29108.376,9.481,41371.384,26.114,26.891,34.354,1.020,04,31470.028,9.688,44477.504,28.309,28.910,31.776,1.022
1505,24/02/2019,20:00,01,1012.800,02,27467.238,9.313,39217.828,24.605,25.492,36.407,1.019,03,28522.282,9.437,40587.136,25.565,26.382,35.060,1.020,04,30940.846,9.641,43785.672,27.818,28.461,32.320,1.021
1506,24/02/2019,20:30,01,1012.600,02,26241.950,9.113,37674.120,23.524,24.488,38.107,1.018,03,27549.920,9.325,39322.636,24.679,25.560,36.298,1.019,04,29754.576,9.558,42201.884,26.700,27.431,33.608,1.021
1507,24/02/2019,21:00,01,1012.200,02,25210.608,8.928,36377.988,22.621,23.646,39.666,1.017,03,26091.190,9.169,37399.624,23.341,24.310,38.327,1.018,04,29861.150,9.567,42342.672,26.800,27.523,33.488,1.021
1508,24/02/2019,21:30,01,1012.200,02,24715.998,8.926,35665.560,22.135,23.183,40.460,1.017,03,25505.722,9.065,36664.624,22.829,23.832,39.207,1.018,04,27198.910,9.299,38849.292,24.350,25.252,36.766,1.019
1509,24/02/2019,22:00,01,1012.100,02,23882.240,8.863,34522.628,21.354,22.440,41.872,1.016,03,24313.660,8.952,35060.664,21.726,22.789,41.129,1.017,04,25653.078,9.126,36815.204,22.937,23.930,38.982,1.018
1510,24/02/2019,22:30,01,1011.800,02,22405.508,8.718,32518.370,19.989,21.137,44.632,1.015,03,23023.498,8.804,33335.516,20.546,21.668,43.434,1.016,04,26217.476,9.168,37582.044,23.466,24.428,38.143,1.018
1511,24/02/2019,23:00,01,1011.200,02,21322.826,8.639,31014.620,18.975,20.160,46.898,1.015,03,22604.860,8.768,32761.916,20.157,21.295,44.238,1.016,04,25532.998,9.139,36629.456,22.812,23.809,39.165,1.018
1512,24/02/2019,23:30,01,1011.000,02,20916.598,8.582,30472.258,18.609,19.807,47.809,1.014,03,24194.232,8.997,34845.204,21.584,22.649,41.332,1.017,04,27514.298,9.332,39264.824,24.640,25.522,36.345,1.019
1513,25/02/2019,00:00,01,1010.600,02,19895.306,8.466,29078.058,17.674,18.901,50.263,1.014,03,23680.310,8.903,34192.892,21.134,22.225,42.229,1.016,04,26046.108,9.161,37343.896,23.302,24.274,38.393,1.018
1514,25/02/2019,00:30,01,1010.000,02,22095.342,8.650,32129.010,19.722,20.884,45.258,1.015,03,24078.798,8.949,34724.672,21.498,22.571,41.530,1.017,04,26064.172,9.162,37368.276,23.319,24.289,38.367,1.018
1515,25/02/2019,01:00,01,1009.600,02,21346.696,8.622,31064.110,19.007,20.192,46.846,1.015,03,24592.210,8.962,35452.528,21.994,23.044,40.663,1.017,04,28226.110,9.373,40235.424,25.315,26.153,35.428,1.019
1516,25/02/2019,01:30,01,1009.600,02,21807.552,8.654,31706.676,19.439,20.609,45.856,1.015,03,25421.132,9.045,36563.464,22.758,23.766,39.337,1.018,04,29611.736,9.430,42145.576,26.648,27.395,33.770,1.021
1517,25/02/2019,02:00,01,1009.200,02,22020.062,8.701,31973.682,19.622,20.783,45.413,1.015,03,27780.128,9.231,39753.772,24.968,25.840,35.997,1.019,04,31706.838,9.521,45015.840,28.669,29.260,31.539,1.022
1518,25/02/2019,02:30,01,1008.500,02,23474.568,8.858,33937.692,20.957,22.060,42.599,1.016,03,30223.488,9.395,43057.280,27.281,27.987,33.087,1.021,04,32291.212,9.582,45770.132,29.208,29.751,30.968,1.022
1519,25/02/2019,03:00,01,1007.900,02,23574.766,8.871,34070.276,21.048,22.146,42.418,1.016,03,31116.670,9.509,44192.544,28.089,28.725,32.137,1.022,04,32569.626,9.639,46093.172,29.443,29.961,30.703,1.023
1520,25/02/2019,03:30,01,1007.200,02,25301.828,9.017,36419.724,22.657,23.673,39.523,1.017,03,31251.770,9.534,44353.920,28.205,28.830,31.998,1.022,04,32903.646,9.670,46526.640,29.753,30.242,30.392,1.023
1521,25/02/2019,04:00,01,1007.100,02,26874.998,9.130,38564.172,24.138,25.067,37.209,1.019,03,31436.090,9.558,44586.656,28.371,28.981,31.811,1.022,04,32993.440,9.700,46616.312,29.820,30.301,30.309,1.023
1522,25/02/2019,04:30,01,1006.600,02,27436.808,9.219,39274.656,24.636,25.529,36.447,1.019,03,32232.790,9.618,45641.756,29.121,29.667,31.024,1.022,04,33043.312,9.704,46681.296,29.866,30.343,30.263,1.023
1523,25/02/2019,05:00,01,1006.400,02,23546.630,8.843,34056.160,21.036,22.137,42.469,1.016,03,32089.036,9.590,45473.452,28.999,29.558,31.163,1.022,04,33085.252,9.692,46756.156,29.918,30.392,30.225,1.023
1524,25/02/2019,05:30,01,1006.100,02,24679.332,8.770,35766.948,22.191,23.249,40.520,1.017,03,32021.478,9.588,45379.520,28.933,29.497,31.229,1.022,04,33063.486,9.679,46741.116,29.906,30.382,30.245,1.023
1525,25/02/2019,06:00,01,1006.300,02,26223.838,8.730,38046.840,23.744,24.730,38.133,1.018,03,31464.252,9.568,44614.632,28.392,29.000,31.782,1.022,04,32932.140,9.672,46564.132,29.780,30.267,30.365,1.023
1526,25/02/2019,06:30,01,1006.200,02,24746.036,8.676,35956.728,22.312,23.372,40.411,1.017,03,29080.760,9.208,41640.776,26.274,27.067,34.387,1.020,04,31910.852,9.551,45268.500,28.850,29.425,31.337,1.022
1527,25/02/2019,07:00,01,1005.800,02,25566.946,8.722,37102.704,23.097,24.117,39.113,1.018,03,29290.438,9.266,41875.000,26.443,27.219,34.141,1.020,04,31211.216,9.485,44355.132,28.200,28.831,32.040,1.022
1528,25/02/2019,07:30,01,1005.500,02,26348.212,8.873,38076.996,23.778,24.750,37.953,1.018,03,29410.962,9.292,42017.516,26.544,27.311,34.001,1.020,04,31018.540,9.473,44095.692,28.017,28.662,32.239,1.022
1529,25/02/2019,08:00,01,1005.600,02,26127.572,8.827,37805.512,23.588,24.574,38.274,1.018,03,29200.682,9.259,41754.300,26.358,27.140,34.246,1.020,04,30804.786,9.460,43807.684,27.813,28.475,32.462,1.021
1530,25/02/2019,08:30,01,1005.400,02,26231.090,8.804,37980.452,23.706,24.687,38.123,1.018,03,27147.028,8.955,39142.404,24.519,25.443,36.836,1.019,04,28931.128,9.217,41416.440,26.119,26.921,34.565,1.020
