Report Date:,11/22/2019 23:29:53
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630411_2019-09-27_09-34-15-429.wsl
Create Date,9/27/2019 16:33:28

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,3 ft (SN630411)
Serial Number,630411
Firmware Version,2.01
Hardware Version,4
Device Address,1
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,11

Log Configuration
,Log Name,2019-06-23_630411
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:10:33 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:10:59 ,Used Battery: 11% Used Memory: 14%   User Name: Ian
9/27/2019 16:21:39 ,Used Battery: 17% Used Memory: 20%   User Name: Ian
9/27/2019 16:21:39 ,Manual Stop Command


Log Data:
Record Count,9186

Sensors,1

 ,1,630411,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,SN#: 630411                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/24/2019 17:30:00 ,                                  11.193,                               37019.969,                               50279.199,                                  32.609,                                   1.025,
6/24/2019 17:45:00 ,                                  11.355,                               37094.066,                               50168.625,                                  32.547,                                   1.025,
6/24/2019 18:00:00 ,                                  11.277,                               37016.379,                               50165.309,                                  32.536,                                   1.025,
6/24/2019 18:15:00 ,                                  11.281,                               36851.777,                               49936.246,                                  32.371,                                   1.025,
6/24/2019 18:30:00 ,                                  11.433,                               37156.746,                               50152.926,                                  32.545,                                   1.025,
6/24/2019 18:45:00 ,                                  11.386,                               37137.133,                               50187.070,                                  32.564,                                   1.025,
6/24/2019 19:00:00 ,                                  11.730,                               37225.828,                               49864.020,                                  32.368,                                   1.025,
6/24/2019 19:15:00 ,                                  11.718,                               37277.602,                               49949.109,                                  32.428,                                   1.025,
6/24/2019 19:30:00 ,                                  12.282,                               37582.258,                               49640.910,                                  32.264,                                   1.024,
6/24/2019 19:45:00 ,                                  12.664,                               37687.512,                               49304.297,                                  32.058,                                   1.024,
6/24/2019 20:00:00 ,                                  12.810,                               37675.336,                               49109.570,                                  31.931,                                   1.024,
6/24/2019 20:15:00 ,                                  12.663,                               37590.645,                               49179.016,                                  31.967,                                   1.024,
6/24/2019 20:30:00 ,                                  12.724,                               37644.848,                               49174.555,                                  31.970,                                   1.024,
6/24/2019 20:45:00 ,                                  12.652,                               37561.332,                               49154.797,                                  31.948,                                   1.024,
6/24/2019 21:00:00 ,                                  12.795,                               37675.508,                               49128.227,                                  31.943,                                   1.024,
6/24/2019 21:15:00 ,                                  12.827,                               37655.629,                               49063.051,                                  31.899,                                   1.024,
6/24/2019 21:30:00 ,                                  13.035,                               37826.246,                               49031.582,                                  31.895,                                   1.024,
6/24/2019 21:45:00 ,                                  12.975,                               37671.945,                               48903.715,                                  31.797,                                   1.024,
6/24/2019 22:00:00 ,                                  12.956,                               37760.766,                               49043.102,                                  31.896,                                   1.024,
6/24/2019 22:15:00 ,                                  13.282,                               37845.863,                               48758.727,                                  31.720,                                   1.024,
6/24/2019 22:30:00 ,                                  12.865,                               37711.395,                               49089.801,                                  31.922,                                   1.024,
6/24/2019 22:45:00 ,                                  12.706,                               37615.867,                               49159.379,                                  31.957,                                   1.024,
6/24/2019 23:00:00 ,                                  12.551,                               37590.141,                               49316.355,                                  32.056,                                   1.024,
6/24/2019 23:15:00 ,                                  11.976,                               37283.051,                               49628.770,                                  32.224,                                   1.024,
6/24/2019 23:30:00 ,                                  12.189,                               37464.141,                               49601.637,                                  32.226,                                   1.024,
6/24/2019 23:45:00 ,                                  12.784,                               37771.227,                               49265.930,                                  32.041,                                   1.024,
6/25/2019 00:00:00 ,                                  12.710,                               37726.121,                               49298.938,                                  32.058,                                   1.024,
6/25/2019 00:15:00 ,                                  12.848,                               37814.277,                               49243.379,                                  32.031,                                   1.024,
6/25/2019 00:30:00 ,                                  12.685,                               37727.715,                               49330.656,                                  32.079,                                   1.024,
6/25/2019 00:45:00 ,                                  12.570,                               37670.328,                               49398.176,                                  32.117,                                   1.024,
6/25/2019 01:00:00 ,                                  12.584,                               37672.457,                               49383.746,                                  32.108,                                   1.024,
6/25/2019 01:15:00 ,                                  12.673,                               37733.016,                               49352.652,                                  32.094,                                   1.024,
6/25/2019 01:30:00 ,                                  12.834,                               37852.699,                               49311.035,                                  32.079,                                   1.024,
6/25/2019 01:45:00 ,                                  12.687,                               37726.316,                               49326.945,                                  32.076,                                   1.024,
6/25/2019 02:00:00 ,                                  12.686,                               37740.613,                               49347.199,                                  32.091,                                   1.024,
6/25/2019 02:15:00 ,                                  12.305,                               37481.520,                               49478.715,                                  32.149,                                   1.024,
6/25/2019 02:30:00 ,                                  12.164,                               37439.574,                               49600.230,                                  32.222,                                   1.024,
6/25/2019 02:45:00 ,                                  12.456,                               37615.520,                               49467.715,                                  32.156,                                   1.024,
6/25/2019 03:00:00 ,                                  12.236,                               37466.785,                               49545.723,                                  32.190,                                   1.024,
6/25/2019 03:15:00 ,                                  12.134,                               37362.484,                               49535.875,                                  32.173,                                   1.024,
6/25/2019 03:30:00 ,                                  12.341,                               37532.203,                               49500.773,                                  32.168,                                   1.024,
6/25/2019 03:45:00 ,                                  12.005,                               37315.125,                               49634.648,                                  32.231,                                   1.024,
6/25/2019 04:00:00 ,                                  12.108,                               37429.594,                               49656.961,                                  32.258,                                   1.024,
6/25/2019 04:15:00 ,                                  11.555,                               37057.336,                               49861.633,                                  32.348,                                   1.025,
6/25/2019 04:30:00 ,                                  11.594,                               37123.535,                               49900.961,                                  32.380,                                   1.025,
6/25/2019 04:45:00 ,                                  11.444,                               37029.785,                               49966.824,                                  32.411,                                   1.025,
6/25/2019 05:00:00 ,                                  11.399,                               37037.641,                               50036.551,                                  32.457,                                   1.025,
6/25/2019 05:15:00 ,                                  11.146,                               36862.496,                               50127.203,                                  32.494,                                   1.025,
6/25/2019 05:30:00 ,                                  10.893,                               36802.230,                               50375.910,                                  32.644,                                   1.025,
6/25/2019 05:45:00 ,                                  11.105,                               36920.883,                               50259.246,                                  32.585,                                   1.025,
