Report Date:,11/22/2019 23:30:03
Report User Name:,Ian
Report Computer Name:,SLOCUM
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,2019-06-23_630427_2019-09-27_10-02-48-983.wsl
Create Date,9/27/2019 17:02:41

Device Properties
Device,Aqua TROLL 100
Site,Yaquina_Dock5
Device Name,11ft (630427)
Serial Number,630427
Firmware Version,2.01
Hardware Version,4
Device Address,3
Device Comm Cfg,9600,8,None,1,(Modbus-ASCII)
Used Memory,12
Used Battery,10

Log Configuration
,Log Name,2019-06-23_630427
,Created By,Ian
,Computer Name,SLOCUM
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,6/23/2019 02:15:15 UTC
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,6/24/2019 00:00:00 UTC
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00





Other Log Settings

,Specific Conductivity Model:,Standard Methods
,,Reference Temperature:,25
,,Temperature Coefficient:,0.0191


Log Notes:
Date and Time (UTC),Note
6/23/2019 02:15:23 ,Used Battery: 10% Used Memory: 14%   User Name: Ian
9/27/2019 16:50:46 ,Used Battery: 16% Used Memory: 20%   User Name: Ian
9/27/2019 16:50:47 ,Manual Stop Command


Log Data:
Record Count,9188

Sensors,1

 ,1,630427,Conductivity



,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,Sensor: Cond                            ,
,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,SN#: 630427                             ,
Date and Time (UTC),Temperature (C)                         ,Actual Conductivity (µS/cm)             ,Specific Conductivity (µS/cm)           ,Salinity (PSU)                          ,Water Density (g/cm3)                   ,
6/25/2019 02:45:00 ,                                   9.968,                               35961.887,                               50445.438,                                  32.583,                                   1.025,
6/25/2019 03:00:00 ,                                   9.865,                               35859.023,                               50439.777,                                  32.566,                                   1.025,
6/25/2019 03:15:00 ,                                   9.789,                               35792.203,                               50449.094,                                  32.563,                                   1.025,
6/25/2019 03:30:00 ,                                   9.798,                               35869.578,                               50545.852,                                  32.633,                                   1.025,
6/25/2019 03:45:00 ,                                   9.850,                               35795.289,                               50371.320,                                  32.515,                                   1.025,
6/25/2019 04:00:00 ,                                   9.782,                               35810.484,                               50483.871,                                  32.587,                                   1.025,
6/25/2019 04:15:00 ,                                   9.728,                               35820.555,                               50572.805,                                  32.643,                                   1.025,
6/25/2019 04:30:00 ,                                   9.625,                               35716.563,                               50566.223,                                  32.625,                                   1.025,
6/25/2019 04:45:00 ,                                   9.784,                               35818.141,                               50492.289,                                  32.593,                                   1.025,
6/25/2019 05:00:00 ,                                   9.703,                               35794.773,                               50570.512,                                  32.639,                                   1.025,
6/25/2019 05:15:00 ,                                   9.773,                               35865.906,                               50575.199,                                  32.651,                                   1.025,
6/25/2019 05:30:00 ,                                   9.816,                               35872.609,                               50526.422,                                  32.621,                                   1.025,
6/25/2019 05:45:00 ,                                   9.745,                               35787.012,                               50502.211,                                  32.595,                                   1.025,
6/25/2019 06:00:00 ,                                   9.849,                               35924.125,                               50553.609,                                  32.645,                                   1.025,
6/25/2019 06:15:00 ,                                   9.876,                               35864.125,                               50431.852,                                  32.561,                                   1.025,
6/25/2019 06:30:00 ,                                   9.833,                               35874.398,                               50504.781,                                  32.608,                                   1.025,
6/25/2019 06:45:00 ,                                   9.815,                               35862.352,                               50512.113,                                  32.611,                                   1.025,
